# class	strip	residue	count — generated by tools/mine_residues.py
nbv	0	ның	1037
nbv	0	лық	998
nbt	0	ты	956
nbt	0	тың	928
vbv	0	п	879
nbt	0	қа	841
nbv	0	ға	783
nbv	0	сы	748
nbv	0	ны	743
vbv	0	ған	743
nft	0	ті	627
nbr	0	ға	626
nft	0	тің	626
nbv	0	лар	605
nbr	0	ы	592
nbn	0	ның	581
nbt	0	тар	569
nbt	0	тан	559
nbn	0	ды	534
nbr	0	дың	529
nbn	0	ға	525
nft	0	ке	517
nbt	қ	ы	507
nbv	0	дан	479
nbv	0	да	468
vfv	0	п	447
nbn	0	ы	446
nbv	0	сын	431
nbr	0	ды	425
nbt	0	ы	423
nbt	0	тық	422
nbt	0	та	420
vbv	0	ды	388
nft	0	тен	383
nbn	0	дай	380
nfv	0	нің	380
nbv	0	қ	369
nft	к	і	368
nfv	0	лік	365
nft	0	тер	360
nbt	0	пен	358
nbn	0	нан	356
vfv	0	ген	356
nbr	0	ын	352
nbv	0	лы	349
nbn	0	дық	348
nbt	0	тап	344
nbt	0	тай	342
nfv	0	ге	341
nbn	0	да	314
nbt	қ	ын	312
nfr	0	і	312
nbr	0	дан	310
nfv	0	ні	304
nbv	0	мен	300
nfv	0	лер	296
nfv	0	сі	292
nfn	0	і	290
nfr	0	ге	287
vbn	0	ып	286
nbt	0	тары	281
nbv	0	лардың	277
nfn	0	ді	277
nfr	0	дің	276
nbv	0	м	275
nft	0	і	275
nbn	0	ын	274
nbn	0	дар	272
nbv	0	сының	271
nft	0	тік	268
nbr	0	лар	266
nbv	0	лары	260
nbv	0	лау	258
nfn	0	нің	255
vbv	0	у	255
nbr	0	лық	254
nbv	0	сына	254
nbr	0	да	253
vbn	0	ған	250
nbt	0	тау	249
vbn	0	у	249
nfn	0	ге	242
nbv	0	р	238
nbt	0	тардың	234
vbv	0	йды	231
nbv	0	дай	230
nbr	0	ына	229
nft	0	те	228
nft	0	пен	227
nft	к	ін	227
vbv	0	нып	226
nfv	0	к	221
vbv	0	йтын	220
nfv	0	ден	219
nbn	0	ына	216
nbt	0	ын	216
nbv	0	ларды	215
nbv	0	ғы	213
nfr	0	ді	211
nbt	қ	ына	210
vbv	0	тып	208
nbv	0	ң	202
nbz	0	дың	201
nbr	0	лы	199
nbz	0	ды	198
nbr	0	мен	197
nfv	0	сін	195
nbv	0	дағы	189
nft	0	тердің	188
nbn	0	дау	185
nbz	0	ы	185
nbt	0	сыз	182
nbz	0	ға	181
nbt	0	тарды	179
nbn	0	мен	178
nft	0	тей	178
nft	0	теп	178
vbr	0	ып	178
nft	0	тері	177
nfn	0	дей	175
nbv	0	ларын	174
vfv	0	ді	172
nbt	0	тарын	170
nfn	0	нен	170
nbz	0	дап	168
nfv	0	лі	167
vbn	0	ды	167
nbz	0	дық	164
nbv	0	сында	163
nfr	0	лер	163
nbv	0	ларға	162
nfv	0	м	162
vbt	0	у	162
nfn	0	дік	161
nfn	0	ін	161
nfv	0	ң	161
vfn	0	іп	161
nfr	0	ін	160
nbv	0	л	159
nfv	0	леу	158
nbt	0	тарға	157
vbt	0	ып	157
vfn	0	ген	155
nbn	0	дап	153
vfn	0	у	152
nfv	0	де	151
nbr	0	ынан	150
nbv	0	т	150
nbv	0	сынан	149
vbv	0	қ	148
nbt	0	ына	147
nft	0	терді	147
nfv	0	дей	147
nbt	0	тағы	146
nfr	0	ден	146
vbv	0	са	146
vbv	0	май	145
nbn	0	ының	143
nfr	0	лік	143
nft	0	ін	142
nbn	0	ым	141
nbr	0	ының	141
nbv	0	лығы	141
nfv	0	мен	141
nbr	0	дай	140
nfr	0	де	139
nbz	0	дар	138
nbt	0	ының	137
nfn	0	де	136
nbt	0	тарының	135
nft	0	теу	135
nfn	0	іне	134
nbn	0	ша	132
nft	к	іне	129
nfv	0	лері	129
nbv	0	ларының	128
nbv	0	ғын	128
nbv	0	п	127
nfv	0	лердің	127
nfr	0	іне	125
vfv	0	у	125
nfn	0	дер	124
nft	0	терін	124
vbt	0	ты	124
nbz	0	дан	123
nfr	0	мен	123
nft	0	сіз	119
nbr	0	лардың	118
nfv	0	сіне	118
vbt	0	қан	118
nbv	0	с	117
vfv	0	ніп	117
nfz	0	і	116
nbr	0	шы	115
vbv	0	ма	115
vfv	0	йтін	115
nbn	0	дардың	114
nfz	0	ді	113
nbn	0	ынан	112
vbr	0	ған	112
nbr	0	ым	111
nfv	0	лігі	110
nbv	0	ды	109
nfv	0	гі	109
nbt	0	ша	108
nft	0	інің	108
vfv	0	йді	107
nbn	0	дағы	106
nbn	0	ында	106
nbt	қ	ының	106
nfv	0	лерді	106
nbr	0	лары	104
nbr	0	ында	104
nbt	қ	ынан	104
nfz	0	дің	104
vbv	0	та	103
nbt	0	тардан	102
nbn	0	ымен	101
vft	0	у	101
vft	0	іп	100
nbr	0	лау	99
nbz	0	ын	99
nft	к	інің	99
vbr	0	у	99
vbv	0	р	99
nbv	0	на	98
nbn	0	дары	97
vbv	0	ту	97
nfn	0	інің	95
nft	0	тегі	95
nfz	0	ге	95
vfn	0	ді	95
nbn	0	ың	94
nft	0	терге	94
nft	0	іне	94
vbv	0	с	94
nbr	0	дағы	93
nbv	0	лығын	93
nfn	0	мен	93
nbr	0	ларды	92
nbv	0	мды	92
nbz	0	да	92
nbv	0	ма	91
nbv	0	шы	91
nfn	0	деу	91
nfv	0	сінің	91
nfz	0	дік	91
vbv	0	т	91
nbv	0	йды	90
nbv	0	ларына	90
nbv	0	лықты	90
nbv	0	сымен	90
vbv	0	на	90
nbv	0	у	89
nfr	0	інің	89
nft	0	терінің	89
nfv	0	р	89
vbv	0	сып	89
vfv	0	тіп	89
nbt	0	талған	88
nbt	0	ында	88
nbv	0	ша	88
nbv	0	нда	87
nbv	0	тын	86
nbv	0	ған	86
nbt	0	тарда	85
vbn	0	дыру	85
vft	0	кен	85
vfr	0	іп	84
vbz	0	ып	83
nfn	0	ім	82
nfr	0	лердің	82
nbn	0	сыз	81
nbt	0	шы	81
nbv	0	лардан	81
nbv	0	рды	81
nfr	0	лері	81
nft	к	інен	81
vft	0	ті	81
nbn	0	дарды	80
nbr	0	ымен	80
nbt	0	ынан	80
vbr	0	ды	80
nbt	0	тарына	79
nbv	0	сыз	79
nfv	0	лерін	79
nbv	0	ры	78
nfn	0	інен	78
nbt	0	тармен	77
nbv	0	ғына	77
nbv	0	ңды	77
nbz	0	дай	77
nfz	0	ден	77
nbv	0	мыз	76
nft	к	імен	76
nfz	0	де	76
nbv	0	мын	75
nbv	0	рып	75
nbv	0	рға	75
nbr	0	ларға	74
nfv	0	лерге	74
vbv	0	тты	74
nbt	0	тас	73
nbt	қ	ым	73
nbv	0	лыққа	73
nfn	0	ше	73
nfv	0	гін	73
nfv	0	лікке	73
vbn	0	ады	73
nbv	0	ларда	72
nbr	0	ларын	71
nfn	0	деп	71
nbr	0	сыз	70
nbt	0	ым	70
nbt	0	ымен	70
nbt	қ	ында	70
nfv	0	лерінің	70
nbt	қ	ымен	69
nbv	0	лармен	69
nfn	0	імен	69
vbt	0	ады	69
nfn	0	ің	68
nbn	0	дарға	67
nbv	0	н	67
nbz	0	ым	67
vbv	0	дым	67
vbv	0	майды	67
vbz	0	ған	67
nbz	0	дардың	66
nfr	0	лі	66
nfv	0	лық	66
vfv	0	се	66
vfz	0	іп	66
nbt	0	шыл	65
nbz	0	дау	65
nfn	0	дері	65
vfr	0	ген	65
vfv	0	ме	65
nbr	0	лығы	64
nbv	0	лықтың	64
nbv	0	рдың	64
nbz	0	ына	64
nfn	0	дердің	64
nfr	0	інде	64
nfr	0	інен	64
nfv	0	лігін	64
nbr	0	ша	63
nfn	0	інде	63
nfz	0	дер	63
vfv	0	к	63
vfv	0	ту	63
nbv	0	ларынан	62
nfn	0	сіз	62
nft	0	ше	62
nbn	0	дыққа	61
nbv	0	лды	61
nbz	0	дары	61
nft	0	шіл	61
nfv	0	п	61
nfv	0	ңді	61
nfz	0	деп	61
nbr	0	ың	60
nbv	0	са	60
nbv	0	сындағы	60
vfn	0	еді	60
vbr	0	тып	59
nfr	0	дегі	58
nft	0	теріне	58
nfz	0	ін	58
vbv	0	тқан	58
nbr	0	ларының	57
nbr	0	шылық	57
nbv	0	ндар	57
nbv	0	рын	57
nbz	0	ының	57
nfn	0	дерді	57
nfv	0	сінен	57
vbz	0	у	57
nbn	0	дарын	56
nbn	0	шыл	56
nbt	0	ың	56
nbv	0	лығына	56
nbv	0	тты	56
nbv	0	ты	56
nfv	0	л	56
nfv	0	сінде	56
vbv	0	майтын	56
nft	0	інде	55
nfv	0	ліктің	55
nbv	0	шыл	54
vbv	0	сын	54
vbz	0	ды	54
vfv	0	р	54
nbv	0	лады	53
nbv	0	ларында	53
nbv	0	ғының	53
nft	0	терден	53
nft	0	імен	53
nfv	0	мді	53
nfv	0	т	53
vbn	0	дырып	53
vbv	0	су	53
vfn	0	діру	53
nbn	0	дықтың	52
nbt	0	тарында	52
nbv	0	тқа	52
nfr	0	імен	52
nft	0	терде	52
nft	0	термен	52
nft	0	ші	52
nfv	0	дегі	52
nfv	0	лігіне	52
nbn	0	дықтан	51
nbv	0	ғынан	51
nft	к	інде	51
nfv	0	ді	51
nbv	0	йдың	50
nfr	0	лерге	50
nft	0	інен	50
nfv	0	ның	50
nfv	0	ше	50
vbv	0	маған	50
vfr	0	ді	50
vfv	0	мей	50
nbt	0	талып	49
nbv	0	лауға	49
nbv	0	ғым	49
nbz	0	дарды	49
nfv	0	лікті	49
nfv	0	не	49
vbv	0	натын	49
vbv	0	ып	49
vbv	0	ғы	49
vfv	0	не	49
vfv	0	т	49
vfv	0	те	49
vfz	0	ген	49
vfz	0	у	49
nbt	0	тарынан	48
nbt	0	тасып	48
nbt	0	шылар	48
nbz	0	дарға	48
nfn	0	дегі	48
nfv	0	сімен	48
nfv	0	ші	48
nfz	0	дей	48
nfz	0	деу	48
nfz	0	ім	48
vbr	0	ады	48
nbn	0	дықты	47
nbt	0	тайды	47
nbv	0	лықпен	47
nbv	0	мның	47
nbv	0	ру	47
nbv	0	ңа	47
nft	0	ім	47
vbn	0	дыр	47
vbv	0	ушы	47
vfr	0	у	47
nbr	0	шылар	46
nfv	0	лерден	46
nfv	0	леріне	46
vfv	0	с	46
nbn	0	дайды	45
nbv	0	лықтан	45
nfv	0	лікпен	45
nfz	0	іне	45
nbn	0	шы	44
nbn	0	ыңды	44
nbv	0	лға	44
nbv	0	рған	44
nbv	0	сың	44
nft	0	терімен	44
nfv	0	с	44
vfz	0	ді	44
nbr	0	ындағы	43
nfr	0	ші	43
vbr	0	атын	43
vbr	0	ылған	43
vbv	0	ймын	43
vfv	0	сіп	43
nbn	0	дардан	42
nbn	0	дарының	42
nbr	0	лыққа	42
nbt	0	ындағы	42
nbt	қ	ың	42
nbv	0	ларымен	42
nfr	0	дей	42
nfr	0	леу	42
nfr	0	ім	42
vbv	0	мады	42
vbv	0	мас	42
vft	0	еді	42
nbt	0	тарымен	41
nbt	0	ып	41
nbv	0	рдан	41
nbv	0	ңыз	41
nfv	0	рі	41
nfz	0	дері	41
vbv	0	лып	41
vbv	0	лған	41
nbn	0	ындағы	40
nbv	0	лдың	40
nbv	0	лып	40
nbv	0	лған	40
nbz	0	бен	40
nbz	0	ынан	40
nfr	0	ің	40
nft	0	телген	40
nfv	0	гіне	40
nfv	0	ға	40
vbt	қ	ып	40
vbv	0	пты	40
vbv	0	сқан	40
nbn	0	а	39
nbt	0	у	39
nbt	0	ыр	39
nbv	0	ттың	39
nfn	0	дерін	39
nfv	0	ген	39
nfv	0	лермен	39
vbv	0	мақ	39
vbv	0	сты	39
nbv	0	пты	38
nbv	0	рақ	38
nbv	0	та	38
nfr	0	сіз	38
nft	0	терінде	38
nft	0	ің	38
nfv	0	лерде	38
nfv	0	н	38
nbr	0	лығын	37
nbt	0	тықты	37
nbv	0	ндағы	37
nbv	0	сып	37
nbz	0	ында	37
nfr	0	лерін	37
nfv	0	нде	37
nfv	0	сы	37
nfv	0	сіз	37
nfz	0	інде	37
vbn	0	баған	37
vbv	0	дың	37
vfv	0	тті	37
nbn	0	дарда	36
nbn	0	ыма	36
nbr	0	ларына	36
nbt	0	шылық	36
nbv	0	нып	36
nbv	0	рда	36
nbv	0	рлау	36
nbz	0	дарын	36
nfn	0	дерге	36
nfr	0	лерді	36
nft	0	тес	36
nft	к	ім	36
nfz	0	інің	36
vbv	0	саң	36
vfn	0	діріп	36
nbt	0	татып	35
nbv	0	ба	35
nbv	0	йтын	35
nbv	0	мнан	35
nbv	0	стан	35
nbv	0	сты	35
nbz	0	дарының	35
nbz	0	мен	35
nfz	0	інен	35
vbv	0	м	35
vbv	0	малы	35
vbz	0	ады	35
vfr	0	тіп	35
nbn	0	дарына	34
nbn	0	шылық	34
nbt	0	тыққа	34
nbv	0	рлық	34
nbv	0	ғың	34
nbv	0	ңның	34
nfn	0	ші	34
nfr	0	лерінің	34
nfv	0	ме	34
vbv	0	йсың	34
vbv	0	ры	34
nbr	0	ларда	33
nbr	0	мын	33
nbt	0	тасу	33
nbt	п	ы	33
nbv	0	бы	33
nbv	0	лда	33
nbv	0	рады	33
nbv	0	ттан	33
nbv	0	шылар	33
nfn	0	іңді	33
nft	0	терінен	33
vbr	0	ылып	33
vbt	0	па	33
vbv	0	тады	33
vft	0	се	33
nbn	0	дан	32
nbn	0	дауға	32
nbr	0	ыңды	32
nbv	0	лым	32
nbv	0	рына	32
nbv	0	тай	32
nbv	0	ғында	32
nbv	0	ғып	32
nbz	0	сыз	32
nft	0	кер	32
nfv	0	лерімен	32
nfv	0	міз	32
nfv	0	мін	32
nfv	0	рек	32
vbr	0	ма	32
vbv	0	дық	32
nbr	0	лардан	31
nbt	0	ыл	31
nbt	қ	ыңды	31
nbv	0	лдан	31
nbv	0	лын	31
nbv	0	сқа	31
nbv	0	ңдап	31
nfv	0	лерінде	31
nfv	0	ріп	31
nfv	0	се	31
nfz	0	дерді	31
nfz	0	дерін	31
vbv	0	рын	31
vfv	0	ліп	31
nbr	0	лықты	30
nbr	0	ымды	30
nbv	0	лдық	30
nbv	0	нан	30
nbv	0	ндардың	30
nbv	0	қа	30
nfn	0	гі	30
nfn	0	сіздік	30
nfv	0	гінің	30
nfv	0	йді	30
nfv	0	мнің	30
nfv	0	пті	30
nfv	0	рді	30
nfv	0	у	30
nfz	0	ің	30
vbr	0	май	30
vbt	0	тырып	30
vbv	0	рдың	30
vfv	0	лген	30
vfz	0	еді	30
nbn	0	дармен	29
nbn	0	ымды	29
nbv	0	лаушы	29
nbv	0	ғымен	29
nbv	0	ңда	29
nbv	0	ңнан	29
nbz	0	ың	29
nfn	0	діктен	29
nfn	0	шіл	29
nft	0	індегі	29
nfv	0	тін	29
nfz	0	дегі	29
vbt	0	пас	29
vbt	0	са	29
vbv	0	рды	29
vbv	0	ңдар	29
vfr	0	еді	29
vfv	0	гі	29
vfv	0	ткен	29
nbv	0	лығының	28
nbv	0	лықтар	28
nbv	0	ндап	28
nbv	0	шылық	28
nbz	0	датып	28
nbz	0	дағы	28
nfn	0	імді	28
nft	0	шілер	28
nft	0	ір	28
nfv	0	лар	28
nfv	0	ру	28
nfv	0	ңе	28
nfv	0	ңнен	28
vfz	0	етін	28
nbr	0	лармен	27
nbr	0	ымыз	27
nbt	0	сыздық	27
nbt	0	таушы	27
nbv	0	дың	27
nbv	0	лына	27
nbv	0	нар	27
nbv	0	ндары	27
nbv	0	ншы	27
nbv	0	рлар	27
nbv	0	рының	27
nbv	0	тып	27
nbv	0	ғымды	27
nbz	0	дардан	27
nft	0	теліп	27
nft	0	тетіп	27
nfv	0	ке	27
nfv	0	ны	27
vbn	0	ушы	27
vbv	0	лды	27
vbv	0	лу	27
vbv	0	ушылық	27
vfn	0	дір	27
nbn	0	дас	26
nbn	0	датып	26
nbn	0	ыңа	26
nbr	0	ыма	26
nbt	0	ыны	26
nbt	0	ыға	26
nbt	қ	ындағы	26
nbv	0	насы	26
nbv	0	пқа	26
nbv	0	рдай	26
nbv	0	қан	26
nfn	0	сіп	26
nfr	0	лермен	26
nfr	0	індегі	26
nfv	0	да	26
nfv	0	ліктен	26
nfv	0	рге	26
nfz	0	сіз	26
vbn	0	са	26
vbr	0	са	26
vbt	0	тым	26
vbt	0	тыру	26
vbv	0	мау	26
vbz	0	атын	26
vbz	0	мас	26
vfv	0	су	26
nbn	0	дықпен	25
nbn	0	сыздық	25
nbr	0	лықтан	25
nbr	0	ыңа	25
nbt	0	талады	25
nbt	0	ымыз	25
nbt	0	ыңа	25
nbt	0	ыңды	25
nbv	0	бын	25
nbv	0	лығымен	25
nbv	0	мыздың	25
nbv	0	тта	25
nbz	0	дарда	25
nbz	0	ымен	25
nfn	0	дерден	25
nfn	0	індегі	25
nft	0	тікке	25
nfv	0	лді	25
nfv	0	лерінен	25
nfv	0	рін	25
nfz	0	мен	25
vbr	0	ушы	25
vbt	0	атын	25
vbt	0	пайды	25
vbv	0	улы	25
vfn	0	етін	25
vfn	0	се	25
vfr	0	етін	25
vfv	0	мейді	25
vfv	0	нетін	25
nbn	0	дықтар	24
nbn	0	ғы	24
nbr	0	ларында	24
nbr	0	шылардың	24
nbt	0	тал	24
nbt	0	талу	24
nbt	қ	ымды	24
nbv	0	байдың	24
nbv	0	лауы	24
nbv	0	лдар	24
nbv	0	лу	24
nbv	0	мға	24
nbv	0	ндарды	24
nbv	0	рында	24
nbv	0	су	24
nbv	0	сқан	24
nbz	0	дасып	24
nfr	0	шілік	24
nfr	0	іміз	24
nft	0	сіздік	24
nft	0	тейді	24
nft	0	імді	24
nft	к	індегі	24
nft	к	ің	24
nfv	0	лігімен	24
nfv	0	нен	24
nfz	0	дердің	24
nfz	0	імен	24
vbv	0	ймыз	24
vbv	0	лады	24
vbv	0	ны	24
vbv	0	рға	24
vbv	0	сам	24
vbv	0	ң	24
vbv	0	ңыз	24
vft	0	етін	24
vfv	0	гін	24
nbn	0	шылар	23
nbr	0	лықпен	23
nbr	0	ып	23
nbt	0	пын	23
nbt	0	сып	23
nbt	0	тауға	23
nbt	0	ымды	23
nbv	0	лаудың	23
nbv	0	лының	23
nbv	0	лықта	23
nbv	0	рым	23
nbv	0	ста	23
nbv	0	стау	23
nbv	0	ттық	23
nbv	0	ңызды	23
nfn	0	дерінің	23
nfn	0	дікке	23
nfn	0	шілік	23
nft	к	іңді	23
nfv	0	сіп	23
nfv	0	сің	23
nfv	0	тті	23
nfv	0	ңнің	23
vbn	0	атын	23
vbn	0	дыратын	23
vbr	0	дың	23
vbt	0	ушы	23
vbt	0	ы	23
vbv	0	татын	23
vft	0	тім	23
vfv	0	дім	23
nbn	0	лар	22
nbr	0	лықтың	22
nbr	0	тын	22
nbt	0	талды	22
nbt	0	тарындағы	22
nbt	0	тің	22
nbv	0	лдай	22
nbv	0	лылық	22
nbv	0	май	22
nbv	0	рмен	22
nbv	0	ғат	22
nbz	0	шы	22
nfn	0	іміз	22
nft	п	і	22
nfv	0	мнен	22
nfv	0	ндер	22
nfv	0	сті	22
nfv	0	сіндегі	22
nfz	0	імді	22
vbn	0	байды	22
vbt	0	тың	22
vbv	0	рының	22
vbv	0	стық	22
vbv	0	усыз	22
vbv	0	шы	22
vbv	0	ғын	22
vfv	0	рі	22
nbn	0	шылдық	21
nbr	0	сың	21
nbr	0	шыл	21
nbt	0	тату	21
nbt	0	ысы	21
nbv	0	лардағы	21
nbv	0	лың	21
nbv	0	мат	21
nbv	0	птың	21
nbv	0	улы	21
nbv	0	шының	21
nbz	0	ша	21
nfn	0	деріне	21
nfr	0	лерде	21
nfr	0	леріне	21
nft	0	іп	21
nfv	0	гер	21
nfv	0	ске	21
nfv	0	шіл	21
vbn	0	дырылған	21
vbr	0	мас	21
vbr	0	ылады	21
vbr	0	ылатын	21
vbt	0	паған	21
vbv	0	ңдап	21
vbz	0	май	21
vbz	0	са	21
vfn	0	дім	21
vfv	0	лу	21
vfv	0	уші	21
nbn	0	мын	20
nbn	0	сы	20
nbn	0	сып	20
nbr	0	бас	20
nbr	0	шының	20
nbr	0	ымның	20
nbt	0	сың	20
nbt	0	тардағы	20
nbt	0	тер	20
nbt	0	шылдық	20
nbt	0	ылы	20
nbv	0	мызды	20
nbv	0	мызға	20
nbv	0	ратын	20
nbv	0	рынан	20
nbv	0	стың	20
nbv	0	ттар	20
nbv	0	ңға	20
nbz	0	дайды	20
nbz	0	дарына	20
nbz	0	дыққа	20
nbz	0	шыл	20
nfn	0	дерде	20
nfn	0	детіп	20
nfr	0	лігі	20
nft	0	іл	20
nfv	0	гінен	20
nfv	0	лігінің	20
nfv	0	мде	20
nfv	0	сының	20
nfv	0	ңіз	20
nfz	0	бен	20
vbn	0	дым	20
vbn	0	сын	20
vbt	0	пады	20
vbt	0	пайтын	20
vbt	0	пақ	20
vbt	0	тық	20
vbv	0	латын	20
vfn	0	діретін	20
vfn	0	ушілік	20
vfr	0	дім	20
vft	0	пек	20
vft	0	ілген	20
vfv	0	рін	20
vfv	0	сін	20
nbn	0	байдың	19
nbn	0	ыңнан	19
nbr	0	ыл	19
nbr	0	ыс	19
nbt	0	лы	19
nbt	0	тасқан	19
nbt	0	тат	19
nbt	0	шының	19
nbt	0	қан	19
nbv	0	лылығы	19
nbv	0	лымды	19
nbv	0	мда	19
nbv	0	рлы	19
nbv	0	рмын	19
nbv	0	рта	19
nbv	0	ршы	19
nbv	0	стай	19
nbv	0	шым	19
nbv	0	ғыңды	19
nbv	0	ңдар	19
nbz	0	дарында	19
nbz	0	ымды	19
nfn	0	ден	19
nfn	0	дікті	19
nfn	0	іме	19
nft	0	тет	19
nft	0	шілік	19
nft	0	іңді	19
nfv	0	дің	19
nfv	0	леуге	19
nfv	0	лім	19
nfv	0	мізді	19
nfv	0	рден	19
nfv	0	ті	19
vbr	0	та	19
vbr	0	ға	19
vbv	0	маса	19
vbv	0	масы	19
vbz	0	тып	19
vfn	0	беген	19
vfr	0	мес	19
vfr	0	ілген	19
vft	0	пеген	19
vft	0	пес	19
vfv	0	м	19
vfv	0	рді	19
vfv	0	скен	19
vfv	0	іп	19
nbn	0	ақ	18
nbn	0	даушы	18
nbr	0	тып	18
nbr	0	шысы	18
nbr	0	ымнан	18
nbr	0	ыр	18
nbt	0	талмаған	18
nbt	п	ын	18
nbv	0	бына	18
nbv	0	лдау	18
nbv	0	лынан	18
nbv	0	рма	18
nbv	0	стық	18
nbz	0	дармен	18
nbz	0	дықты	18
nbz	0	ып	18
nbz	0	ыңды	18
nfn	0	дес	18
nfn	0	іңе	18
nfr	0	іңді	18
nft	0	тесіп	18
nft	0	тіктің	18
nfv	0	бек	18
nfv	0	леді	18
nfv	0	ліп	18
nfv	0	рде	18
nfv	0	рінің	18
nfz	0	детіп	18
nfz	0	індегі	18
vbn	0	дырады	18
vbn	0	дырды	18
vbr	0	майды	18
vbr	0	ылды	18
vbr	0	ылу	18
vbt	0	ылған	18
vbv	0	масын	18
vbv	0	рына	18
vbv	0	тар	18
vbz	0	маған	18
vbz	0	ғалы	18
vfn	0	бейді	18
vfn	0	дірді	18
vfr	0	мей	18
vfv	0	ймін	18
vfv	0	йсің	18
vfv	0	л	18
vfv	0	сті	18
vfz	0	се	18
nbn	0	дайын	17
nbn	0	далған	17
nbn	0	дарынан	17
nbn	0	дасып	17
nbn	0	дауы	17
nbn	0	сың	17
nbn	0	ырақ	17
nbr	0	сып	17
nbr	0	ынды	17
nbt	0	ның	17
nbt	0	тауы	17
nbt	0	ті	17
nbt	0	ылдай	17
nbt	0	ыма	17
nbt	0	і	17
nbv	0	бас	17
nbv	0	дар	17
nbv	0	ймын	17
nbv	0	лдары	17
nbv	0	лында	17
nbv	0	малы	17
nbv	0	мдар	17
nbv	0	мызда	17
nbv	0	рыс	17
nbv	0	рың	17
nbv	0	сар	17
nbv	0	ту	17
nbv	0	тым	17
nbv	0	тыны	17
nbz	0	дас	17
nfn	0	дейді	17
nfn	0	деуге	17
nfn	0	шілер	17
nfr	0	лігін	17
nft	0	тісі	17
nft	0	шінің	17
nft	к	імді	17
nfv	0	дан	17
nfv	0	ліктер	17
nfv	0	міздің	17
nfv	0	рген	17
nfv	0	рдің	17
nfv	0	су	17
nfv	0	ңде	17
nfv	0	ңдер	17
nfz	0	дейді	17
nfz	0	іңді	17
vbr	0	дым	17
vbt	0	тырды	17
vbt	0	ылып	17
vbv	0	л	17
vbv	0	мды	17
vft	0	пейді	17
vft	0	іліп	17
vfv	0	пті	17
nbn	0	дардағы	16
nbn	0	лық	16
nbn	0	ымыз	16
nbr	0	лылық	16
nbt	0	лар	16
nbt	0	талатын	16
nbt	0	тердің	16
nbt	0	тықпен	16
nbt	0	тықтан	16
nbt	0	тықтың	16
nbt	0	шылардың	16
nbt	0	ылды	16
nbt	қ	ыма	16
nbt	қ	ырақ	16
nbt	қ	ыңа	16
nbv	0	лдардың	16
nbv	0	лмай	16
nbv	0	лмен	16
nbv	0	лса	16
nbv	0	ндарын	16
nbv	0	рмай	16
nbv	0	рса	16
nbv	0	тар	16
nbv	0	тының	16
nbv	0	ғар	16
nbz	0	дықтың	16
nbz	0	ымыз	16
nfn	0	дерінде	16
nfr	0	лерден	16
nfr	0	лерімен	16
nfr	0	лікке	16
nfr	0	шілер	16
nft	0	пін	16
nft	0	тесу	16
nfv	0	лген	16
nfv	0	сын	16
nfv	0	ттің	16
nfz	0	дерде	16
nfz	0	дерінің	16
vbn	0	байтын	16
vbn	0	дырған	16
vbn	0	ушылық	16
vbt	0	ын	16
vbv	0	нар	16
vbv	0	нда	16
vbv	0	рдан	16
vbv	0	стыру	16
vft	0	тіріп	16
vft	0	інді	16
vft	к	іп	16
vfv	0	улі	16
vfv	0	усіз	16
vfv	0	ңдер	16
vfz	0	тіп	16
nbn	0	дарында	15
nbn	0	дықта	15
nbr	0	ғы	15
nbt	0	ыт	15
nbv	0	бынан	15
nbv	0	йсыз	15
nbv	0	латын	15
nbv	0	лдағы	15
nbv	0	нат	15
nbv	0	рыңды	15
nbv	0	саң	15
nbv	0	ттай	15
nbv	0	тына	15
nbv	0	тқан	15
nfn	0	іңіз	15
nfr	0	ше	15
nft	0	телу	15
nft	0	тету	15
nft	0	шілдік	15
nfv	0	гім	15
nfv	0	гімен	15
nfv	0	гің	15
nfv	0	ндегі	15
nfv	0	рім	15
nfv	0	стің	15
nfz	0	ше	15
nfz	0	іме	15
nfz	0	іңе	15
vbn	0	ба	15
vbr	0	малы	15
vbr	0	ыс	15
vbv	0	маймын	15
vbv	0	ныс	15
vbv	0	стырып	15
vbv	0	тылған	15
vfn	0	дірілген	15
vfn	0	уші	15
vft	0	пе	15
vfv	0	леді	15
vfv	0	мейтін	15
vfv	0	мес	15
vfv	0	теді	15
nbn	0	лары	14
nbn	0	сыздау	14
nbn	0	тай	14
nbn	0	шылардың	14
nbn	0	ымда	14
nbn	0	ымнан	14
nbt	0	ке	14
nbt	0	тайсың	14
nbt	0	тік	14
nbt	0	ырып	14
nbv	0	бар	14
nbv	0	лсыз	14
nbv	0	лықтарын	14
nbv	0	мал	14
nbv	0	ммен	14
nbv	0	пта	14
nbv	0	рдым	14
nbv	0	рларын	14
nbv	0	рмайды	14
nbv	0	рмақ	14
nbv	0	рымды	14
nbv	0	сады	14
nbv	0	сат	14
nbv	0	сыздық	14
nbv	0	тынын	14
nbv	0	ғыңа	14
nbv	0	қат	14
nbv	0	ңын	14
nbz	0	дарынан	14
nbz	0	ыны	14
nfn	0	делген	14
nfn	0	іңнен	14
nfr	0	імді	14
nfr	0	іп	14
nfr	0	іңе	14
nft	0	ең	14
nft	0	нің	14
nft	0	теріндегі	14
nft	0	теуге	14
nft	0	тікті	14
nft	0	іні	14
nfv	0	гіңді	14
nfv	0	йтін	14
nfv	0	лге	14
nfv	0	лдік	14
